Order_ID,Order_Date,Customer_Name,Email,Phone,State,City,Product,Category,Qty,Unit_Price,Discount,Payment_Mode,Order_Status,Delivery_Date,Email_Missing,Qty_Missing,Is_Returned_Stock,Qty_Invalid,Discount_Missing,Phone_Missing,Phone_Valid,Unit_Price_Missing,Delivery_Date_Missing,Sales,Discount_Amount,Net_Amount,Year,Month,Month_Name,Weekday,Delivery_Days
ORD1001,2025-06-02,Shivani Joshi,shivanijoshi@gmail.com,9880983522,Haryana,Faridabad,Magazine,Books,4.0,149.0,0.0,UPI,Pending,2025-06-19,False,False,False,False,True,False,True,False,False,596.0,0.0,596.0,2025,6,June,Monday,
ORD1002,2025-10-08,Trisha Gaikwad,trishagaikwad@gmail.com,9723807710,Maharashtra,Pune,Blanket,Home,3.0,1499.0,15.0,COD,Cancelled,2025-10-29,False,False,False,False,False,False,True,False,False,4497.0,674.55,3822.45,2025,10,October,Wednesday,
ORD1003,2025-05-28,Ananya Bhattacharya,ananyabhattacharya@gmail.com,9327072299,Madhya Pradesh,Indore,Camera,Electronics,1.0,29999.0,15.0,Card,Cancelled,2025-06-08,False,False,False,False,False,False,True,False,False,29999.0,4499.85,25499.15,2025,5,May,Wednesday,
ORD1004,2025-02-22,Diya Chopra,diyachopra@gmail.com,9145609278,Maharashtra,Nagpur,Tennis Racket,Sports,3.0,1999.0,0.0,Wallet,Returned,2025-02-24,False,False,True,False,False,False,True,False,False,5997.0,0.0,5997.0,2025,2,February,Saturday,2.0
ORD1005,2025-09-23,Sanjay Joseph,sanjayjoseph@gmail.com,9686192328,Haryana,Faridabad,Dumbbell,Sports,5.0,1299.0,20.0,COD,Returned,2025-10-12,False,False,True,False,False,False,True,False,False,6495.0,1299.0,5196.0,2025,9,September,Tuesday,19.0
ORD1006,2025-02-07,Trisha Thakur,trishathakur@gmail.com,9970905056,Andhra Pradesh,Vijayawada,Dress,Fashion,4.0,1799.0,0.0,Net Banking,Cancelled,2025-02-22,False,False,False,False,True,False,True,False,False,7196.0,0.0,7196.0,2025,2,February,Friday,
ORD1007,2025-01-25,Naksh Banerjee,nakshbanerjee@gmail.com,9442945305,Maharashtra,Pune,Laptop,Electronics,2.0,54999.0,5.0,Net Banking,Pending,2025-01-26,False,False,False,False,False,False,True,True,False,109998.0,5499.9,104498.1,2025,1,January,Saturday,
ORD1008,2025-02-22,Akash Jain,akashjain@gmail.com,9171036390,West Bengal,Durgapur,Jacket,Fashion,4.0,1999.0,5.0,COD,Pending,2025-03-08,False,False,False,False,False,False,True,False,False,7996.0,399.8,7596.2,2025,2,February,Saturday,
ORD1009,2025-10-02,Aryan Rathore,aryanrathore@gmail.com,9149476122,Maharashtra,Mumbai,Wall Clock,Home,1.0,699.0,0.0,UPI,Pending,2025-10-06,False,False,False,False,False,False,True,False,False,699.0,0.0,699.0,2025,10,October,Thursday,
ORD1010,2025-12-16,Aniket Dubey,aniketdubey@gmail.com,9753993248,West Bengal,Durgapur,Bed,Furniture,1.0,19999.0,15.0,Card,Pending,2026-01-02,False,False,False,False,False,False,True,False,False,19999.0,2999.85,16999.15,2025,12,December,Tuesday,
ORD1011,2025-05-12,Aniket Tiwari,anikettiwari@gmail.com,9250729805,Gujarat,Ahmedabad,Notebook,Books,3.0,199.0,0.0,Card,Cancelled,2025-06-07,False,False,False,False,False,False,True,False,False,597.0,0.0,597.0,2025,5,May,Monday,
ORD1012,2025-08-12,Sanya Srivastava,sanyasrivastava@gmail.com,9833024098,Maharashtra,Nagpur,Skipping Rope,Sports,4.0,399.0,5.0,Card,Delivered,2025-08-24,False,False,False,False,False,False,True,False,False,1596.0,79.8,1516.2,2025,8,August,Tuesday,12.0
ORD1013,2025-04-18,Vikas Chopra,vikaschopra@gmail.com,9797361352,Kerala,Thiruvananthapuram,Face Wash,Beauty,2.0,299.0,0.0,Card,Pending,2025-05-02,False,False,False,False,False,False,True,False,False,598.0,0.0,598.0,2025,4,April,Friday,
ORD1014,2025-05-03,Lakshmi Saxena,lakshmisaxena@gmail.com,9615986316,Telangana,Hyderabad,Face Serum,Beauty,3.0,899.0,0.0,COD,Delivered,2025-05-06,False,True,False,False,False,False,True,False,False,2697.0,0.0,2697.0,2025,5,May,Saturday,3.0
ORD1015,2025-07-10,Naina Iyengar,nainaiyengar@gmail.com,9682265629,Telangana,Warangal,Sunglasses,Fashion,3.0,799.0,15.0,Card,Delivered,2025-07-23,False,False,False,False,False,False,True,False,False,2397.0,359.55,2037.45,2025,7,July,Thursday,13.0
ORD1016,2025-05-21,Neha Thomas,nehathomas@gmail.com,9917157759,Haryana,Faridabad,Keyboard,Electronics,3.0,1499.0,10.0,Net Banking,Cancelled,2025-06-07,False,False,False,False,False,False,True,False,False,4497.0,449.7,4047.3,2025,5,May,Wednesday,
ORD1017,2025-03-13,Ananya Saha,ananyasaha@gmail.com,9943038781,Gujarat,Surat,Bed Sheet,Home,3.0,999.0,5.0,UPI,Pending,2025-03-21,False,False,False,False,False,False,True,False,False,2997.0,149.85,2847.15,2025,3,March,Thursday,
ORD1018,2025-08-17,Vikas Mehta,vikasmehta@gmail.com,9244735962,Kerala,Kochi,Camera,Electronics,3.0,29999.0,10.0,Wallet,Delivered,2025-08-20,False,False,False,False,False,False,True,False,False,89997.0,8999.7,80997.3,2025,8,August,Sunday,3.0
ORD1019,2025-11-14,Vimal Shekhawat,vimalshekhawat@gmail.com,9246408077,Rajasthan,Jodhpur,Tablet,Electronics,5.0,18999.0,10.0,UPI,Delivered,2025-12-12,False,False,False,False,False,False,True,False,False,94995.0,9499.5,85495.5,2025,11,November,Friday,28.0
